module,section,id,name,description,synonyms,alternative_definition,additional,crate_slot,iri,iri_label,iri_predicate,iri_justification,iri_source_version,oecd_gd211,lincs,toxtemp,nature,oecd_gd34,oecd_gd417,oecd_oht201
General Information,,experiment_name,Experiment name,Short and descriptive title [OECD GD 211],Scientific issue; Assay name; Title,Descriptive full-text title [ToxTemp],,Investigation:name;Study:name;Assay:name,,,,,,True,,True,,True,,
General Information,,study_description,Study description,"A description of why you did the experiment, what you hoped to see. This should be a 2-3 sentence description that would explain what this experiment is to someone other than you. [MIFlowCyt]",Study purpose; Description; Summary; Abstract,Provide a summary of the assay features. E.g. “the effects of a chemical irritant on the opacity and permeability of a freshly isolated bovine cornea can be used to measure eye irritancy.” [OECD GD 211],,Study:description,,,,,,True,,True,,,True,True
General Information,,date,Date,Report the date of the first version of the method decription (day/month/year). Example: “5 August 2013” [OECD GD 211],Year; Date of the publication,,,Investigation:datePublished,,,,,,True,,,,,,
General Information,,version_number,Version number,"Indicate the date (day/month/year) of any update of the MD. The MD can be updated for a number of reasons such as additions of new information or corrections to the existing information. Summarise briefly which information has been updated.  [OECD GD 211]. For protocols, semantic versioning and fork tracking via dynamic repositories (e.g., protocols.io) are encouraged.",,Version number and date of deposition; Summary of introduced changes in comparison to previous version(s) [ToxTemp],,Investigation:dateModified,,,,,,True,,True,,,True,
General Information,,organizations,Organizations,Organization(s) performing the experiment. [MIFlowCyt],,,,Investigation:sourceOrganization,,,,,,,,,,,,
General Information,,experimenters,Experimenter(s),"Name and email of contact person, Name of further persons involved [ToxTemp]. CRediT-style role attribution (conceptualisation, methodology, investigation, analysis, etc.) is encouraged.",Corresponding person; Name and acronym of the test depositor,The scientist that performed this experiment. [4DN] Primary researcher [MIFlowCyt] Names and contact details [OECD GD 211] Assay developer(s)/Laboratory and contact details [OECD GD 211],,Investigation:author,,,,,,True,,True,,,True,
General Information,,time_point,Time point,Date and time (range) of the experiment [OECD GD 211]. Range form (start–end) is acceptable to capture the study time-frame.,Study time-frame;study period start;study period end,,,Study:temporalCoverage,,,,,,True,,True,,True,,True
General Information,,data_access,Data access,"Availability of data: e.g., open access or restricted data access",,,,Investigation:conditionsOfAccess,,,,,,,,,,,,True
General Information,,pubmed_ids,PubMed IDs,A numeric PubMed ID of a publication associated with this experiment or a comma-separated list on multiple numeric PubMed IDs if multiple publications are related to this experiment. [MIFlowCyt],,,,Investigation:citation,,,,,,,,,,True,,
General Information,,pmc_ids,PMC IDs,"A PMC publication identifier (i.e., PMCxxxxxxxx) of a publication associated with this experiment, or a comma-separated list of multiple PMC IDs if multiple publications are related to this experiment. [MIFlowCyt]",,,,Investigation:citation,,,,,,,,,,True,,
